AENJPLPP_00005	K02483
AENJPLPP_03076	K07498
AENJPLPP_03082	K07498
AENJPLPP_03083	K18349
AENJPLPP_03084	K18350
AENJPLPP_03085	K03778
AENJPLPP_03085	K18347
AENJPLPP_03086	K15739
AENJPLPP_03086	K18856
AENJPLPP_03096	K03205
AENJPLPP_03099	K03205
AENJPLPP_03100	K03205
AENJPLPP_03101	K03205
AENJPLPP_03102	K03205
AENJPLPP_03110	K07498
AENJPLPP_03111	K07498
AENJPLPP_03115	K19159
AENJPLPP_03120	K02346
AENJPLPP_03120	K03502
AENJPLPP_03124	K03496
AENJPLPP_03127	K07498
AENJPLPP_03128	K07498
AENJPLPP_03132	K19159
AENJPLPP_03133	K19158
AENJPLPP_03141	K02283
AENJPLPP_03142	K02283
AENJPLPP_03153	K03205
AENJPLPP_03155	K03205
AENJPLPP_03169	K02003
AENJPLPP_03181	K02003
